R6981,R6908
R6475,R9897
R9877,R2052
R2951,R8095
R6771,R7942
R7396,R1651
R1266,R4754
R8285,R2125
R2033,R8576
R1725,R5812
R8417,R2152
R4281,R5934
R9320,R2864
R4734,R4930
R7723,R5765
R8370,R7709
R8074,R3612
R4764,R8059
R3971,R4625
R9829,R4690
R3458,R4274
R2599,R2733
R5377,R6555
R1412,R7005
R2862,R4354
R3811,R9040
R2274,R9476
R2648,R6718
R3098,R8308
R7763,R2285
R4198,R7734
R7926,R6188
R9748,R6262
R1308,R4815
R2243,R4710
R4457,R8245
R9069,R3259
R2023,R9910
R3015,R5064
R1082,R4972
R6730,R4353
R7111,R3966
R2923,R2541
R5885,R8804
R9063,R6067
R8319,R3418
R3342,R9024
R6703,R3119
R9191,R3884
R4951,R8409
R3328,R5680
R2965,R6912
R1523,R2326
R7180,R7317
R6332,R9186
R5113,R2981
R9337,R1953
R5656,R5576
R9966,R3173
R6306,R9709
R8016,R4205
R7875,R6850
R3235,R3795
R4004,R1041
R6089,R1807
R8757,R5736
R4912,R9105
R6565,R2348
R4944,R8916
R8662,R9957
R2569,R8765
R4193,R1735
R1038,R4169
R8616,R9381
R5539,R8053
R2994,R6672
R9204,R5072
R8717,R1848
R7368,R3787
R2602,R3257
R9317,R2784
R4682,R3323
R5826,R6855
R5176,R8023
R6101,R1632
R7519,R1312
R5613,R4928
R2150,R1267
R3345,R5388
R2974,R6978
R3440,R1431
R8540,R9879
R1285,R5779
R6786,R8277
R4940,R1671
R4351,R5591
R9246,R3303
R5618,R2314
R4498,R4377
R6692,R2982
R4425,R2664
R3771,R2835
R1831,R5860
R1258,R1757
R6753,R5003
R9167,R6967
R5196,R9438
R9095,R5745
R2041,R9152
R8846,R6964
R4942,R4791
R7453,R9953
R3619,R7908
R3097,R8530
R3369,R1716
R2739,R9806
R7511,R1920
R6607,R9369
R9538,R8940
R8188,R2939
R4438,R9257
R9560,R7870
R5700,R4658
R4582,R7668
R4535,R9426
R8414,R5980
R1928,R5847
R1589,R3852
R5837,R8684
R4691,R5851
R3763,R8197
R7802,R5353
R7097,R5439
R2107,R7367
R9047,R4808
R3038,R3291
R8856,R6186
R2944,R7068
R9011,R2296
R8951,R6809
R1873,R6521
R9894,R2531
R6504,R8050
R2474,R1118
R4135,R1518
R8498,R2390
R6747,R9281
R7922,R6197
R8234,R3409
R3829,R7324
R9843,R6810
R2582,R9714
R5710,R2647
R8005,R8991
R2782,R5760
R3289,R6195
R6836,R7633
R4762,R9286
R2056,R9528
R9752,R4043
R2986,R3924
R6357,R5675
R7724,R2344
R6298,R1881
R9285,R1703
R3991,R5127
R4802,R4317
R4287,R3043
R2289,R7697
R8850,R8981
R1499,R1794
R4196,R1747
R8221,R9408
R6602,R9890
R2683,R8648
R5590,R3664
R4319,R3604
R8595,R9915
R7407,R6106
R9542,R1287
R9929,R4348
R2308,R8701
R2254,R2843
R6854,R8004
R4667,R7294
R3133,R2484
R5628,R9707
R5376,R2987
R7853,R8874
R3819,R3709
R7268,R3896
R9391,R6359
R2957,R8363
R6263,R1761
R3909,R5762
R9848,R9205
R1537,R7163
R8100,R2803
R9182,R9671
R9020,R6758
R9900,R5014
R4519,R6543
R5809,R2287
R4359,R4105
R5652,R1254
R1104,R7338
R2882,R6466
R2133,R9670
R9495,R7660
R5804,R8806
R2724,R9522
R8838,R3470
R2916,R7952
R5551,R8186
R5418,R5362
R3197,R1049
R3227,R2021
R3091,R5481
R7957,R1906
R5174,R1549
R1850,R9871
R9433,R5853
R4961,R7728
R5750,R6355
R7721,R6251
R6553,R3755
R9431,R1717
R8282,R1542
R2871,R8659
R4508,R4592
R8834,R1545
R5667,R2546
R2821,R8879
R9248,R8645
R3724,R1552
R5185,R6939
R8264,R1099
R5909,R5691
R9882,R2740
R6609,R3506
R9845,R9044
R7887,R7257
R9338,R8759
R2850,R7588
R8682,R4255
R4787,R6143
R6842,R6843
R2204,R1525
R8010,R2727
R2089,R3853
R9340,R7751
R8560,R9168
R3879,R3231
R7898,R3559
R4664,R8685
R1033,R3527
R2178,R9165
R1733,R2053
R5678,R1425
R3899,R3365
R5470,R8475
R3831,R3207
R9462,R8267
R6529,R2699
R5030,R8920
R5634,R4783
R6104,R2680
R5397,R9548
R9283,R8077
R1436,R3294
R5648,R2259
R8689,R4901
R4966,R1223
R8555,R7330
R1662,R7008
R3728,R4444
R6868,R3107
R6994,R1618
R3267,R9857
R4855,R4782
R7375,R8728
R5148,R7984
R3236,R1384
R7993,R5043
R3402,R4034
R5427,R6972
R1500,R4492
R5705,R1776
R7287,R8604
R9129,R3379
R9821,R7361
R3388,R8952
R9219,R9859
R4529,R5624
R1354,R6754
R3180,R8058
R4013,R5849
R9212,R4620
R2516,R7593
R7401,R5569
R9755,R5571
R1165,R5621
R4913,R1440
R9520,R4694
R9006,R2675
R5611,R1958
R1689,R9387
R2412,R9236
R5466,R1328
R8001,R8150
R4094,R9218
R2665,R3251
R7760,R5908
R9923,R2686
R6149,R6909
R8220,R2747
R1014,R1535
R9374,R9355
R3368,R1348
R6375,R7948
R6594,R1359
R9060,R5120
R7598,R9682
R8825,R2492
R7698,R8062
R7904,R3982
R1793,R5440
R7785,R9827
R3780,R9214
R9557,R3113
R3383,R5429
R8008,R1879
R1890,R1012
R2292,R2291
R4873,R3902
R5202,R1360
R6533,R1853
R2496,R3981
R8723,R4603
R8699,R7026
R6876,R2955
R1093,R6261
R5034,R6394
R5588,R6241
R9544,R4934
R8121,R7056
R3751,R9684
R3261,R8172
R7403,R2182
R5597,R7172
R6858,R7648
R4948,R5230
R9310,R6795
R1661,R6153
R6325,R3243
R2579,R9453
R9942,R3800
R4040,R1318
R5199,R5766
R1392,R9406
R8814,R4382
R6416,R6894
R6995,R9345
R5933,R9364
R5112,R9668
R9617,R8816
R6334,R1280
R3118,R8562
R6688,R2425
R5294,R4583
R1573,R3360
R6018,R5859
R7575,R9597
R8935,R4108
R3767,R5538
R4388,R8174
R9209,R7089
R9036,R1683
R9804,R1465
R6206,R8510
R7973,R7759
R5527,R1988
R9221,R8930
R9918,R8915
R6813,R1143
R2466,R5673
R2357,R4679
R3002,R8265
R2389,R5026
R9439,R7854
R9491,R8860
R5201,R3631
R3266,R2533
R3516,R6583
R9004,R9096
R2340,R1151
R8460,R6980
R5913,R2252
R6930,R3774
R9074,R2206
R9211,R1732
R3187,R5269
R9327,R6929
R3810,R7481
R2692,R4458
R4931,R3310
R8087,R7726
R5570,R4776
R5994,R7365
R1150,R7374
R6234,R4634
R2138,R7573
R9771,R2362
R7621,R5982
R7574,R6625
R7115,R3645
R6210,R5378
R6346,R2111
R4270,R7284
R9562,R6904
R3557,R2105
R7630,R9686
R3122,R6570
R5431,R7989
R4986,R8902
R8433,R4447
R8841,R3951
R3278,R9385
R1748,R6920
R2670,R2485
R3651,R5463
R4146,R7492
R1489,R4549
R7571,R2200
R6119,R9471
R3758,R5509
R1778,R9474
R5282,R7506
R5927,R1467
R2477,R5573
R7065,R8551
R3586,R4124
R5714,R6243
R2954,R2177
R6548,R1214
R1442,R3499
R7703,R3143
R7704,R2318
R9019,R7039
R7017,R3895
R9674,R4724
R8312,R6984
R1403,R2132
R2235,R7388
R2096,R6530
R5012,R9830
R5787,R2239
R9065,R1515
R4369,R8534
R9874,R6856
R4778,R6671
R1852,R4674
R4086,R9435
R7197,R2842
R9530,R6643
R1623,R4774
R2565,R8934
R2438,R6910
R8520,R5526
R1054,R2153
R6963,R4443
R1753,R4538
R1217,R5219
R8037,R2167
R7647,R5793
R7210,R7688
R3363,R1363
R4143,R6889
R9116,R4499
R4959,R2847
R9921,R5803
R7903,R3979
R9695,R2526
R3496,R5285
R6335,R9970
R4810,R8799
R3610,R6542
R4925,R4409
R9860,R8239
R2311,R6489
R8598,R7181
R7105,R8514
R4125,R8355
R5789,R4005
R8763,R7078
R3285,R1201
R8344,R9838
R6601,R7392
R2852,R8826
R1990,R4756
