R383696,R154250
R883077,R847959
R176770,R468886
R524729,R346191
R714545,R699865
R652636,R584950
R406474,R164835
R780043,R907659
R102905,R953040
R951197,R790217
R667922,R936402
R125939,R340811
R606281,R953085
R849327,R771377
R519239,R849377
R611975,R873702
R427483,R596302
R402110,R611429
R670543,R146336
R393407,R424059
R413021,R378026
R890379,R589009
R498133,R829852
R338057,R479870
R213571,R802625
R634827,R366528
R130200,R947051
R718074,R328415
R659339,R182682
R103558,R160866
R262371,R869027
R470452,R441000
R478341,R637138
R408412,R213053
R261483,R103788
R216066,R179459
R985969,R443081
R808442,R453871
R656418,R682783
R283204,R735624
R946922,R504668
R713690,R175603
R854876,R276726
R893870,R502470
R137892,R174572
R974047,R154019
R331952,R411837
R476523,R105526
R905113,R323074
R503400,R645028
R445627,R194964
R645241,R429026
R193724,R505679
R539537,R814895
R403939,R158687
R394041,R727954
R246712,R721509
R158762,R383170
R625725,R206883
R753372,R718755
R708765,R322194
R839842,R668409
R668264,R165148
R515789,R770011
R386366,R889982
R586517,R219048
R718461,R956072
R759746,R215336
R795578,R169802
R589577,R387497
R144290,R124231
R543882,R515902
R915376,R900394
R523321,R383543
R342011,R538658
R105338,R718055
R271884,R506105
R476010,R866497
R664534,R985935
R435432,R545333
R706527,R104152
R734059,R843011
R253565,R481361
R824270,R909260
R872804,R375236
R485741,R433105
R575397,R974645
R424441,R831703
R188875,R331350
R310718,R992679
R615335,R356999
R674727,R459594
R655745,R356602
R288263,R829691
R237950,R510807
R269273,R768193
R923871,R785349
R908013,R864676
R256240,R313965
R336376,R244555
R700295,R953422
R516603,R323930
R185719,R925758
R878141,R673397
R323815,R487382
R530008,R545571
R124354,R264211
R942663,R347564
R294249,R837402
R720999,R603876
R733004,R289996
R753901,R889006
R838818,R368354
R694988,R632372
R616851,R270780
R601419,R721924
R574497,R393437
R458150,R653570
R368004,R533365
R571706,R559183
R269748,R460569
R385688,R756426
R963415,R316423
R212189,R940253
R190113,R470484
R460269,R488637
R650101,R267274
R828609,R891908
R616501,R648142
R334911,R507409
R890471,R185575
R719515,R569714
R454613,R208145
R747173,R445316
R697065,R187724
R327436,R383350
R123181,R163463
R239589,R680675
R335727,R289741
R461469,R917250
R848457,R924442
R496139,R809197
R617131,R455149
R884600,R568943
R843703,R206807
R384216,R575201
R226476,R407815
R773146,R186498
R462414,R212580
R274395,R984359
R959372,R603523
R633841,R774570
R443683,R810476
R444168,R256260
R568994,R453082
R839394,R377611
R387857,R116311
R864477,R213186
R692797,R692067
R561853,R851129
R174298,R328270
R831886,R565052
R866165,R126241
R109741,R870056
R414435,R751385
R341636,R230525
R387225,R891874
R345017,R124232
R689309,R735803
R419366,R394682
R621674,R499348
R939323,R137444
R154562,R856531
R123183,R976052
R381686,R306122
R964399,R821137
R334214,R707339
